title,link,publication_year,mentions_bh,mentions_bonferroni,mentions_by
Local CpG density affects the trajectory and variance of age-associated DNA methylation changes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02787-8,2022,True,True,False
Local euchromatin enrichment in lamina-associated domains anticipates their repositioning in the adipogenic lineage,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02662-6,2022,False,False,False
Detecting cell-of-origin and cancer-specific methylation features of cell-free DNA from Nanopore sequencing,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02710-1,2022,True,False,False
mbDenoise: microbiome data denoising using zero-inflated probabilistic principal components analysis,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02657-3,2022,False,False,False
Comprehensive enhancer-target gene assignments improve gene set level interpretation of genome-wide regulatory data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02668-0,2022,False,False,False
Comparative assessment of genes driving cancer and somatic evolution in non-cancer tissues: an update of the Network of Cancer Genes (NCG) resource,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02607-z,2022,True,False,True
Dynamic 3D genome architecture of cotton fiber reveals subgenome-coordinated chromatin topology for 4-staged single-cell differentiation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02616-y,2022,False,False,False
Single-cell isoform analysis in human immune cells,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02615-z,2022,False,False,False
Quantitative-enhancer-FACS-seq (QeFS) reveals epistatic interactions among motifs within transcriptional enhancers in developing ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02574-x,2021,True,False,False
: integrative analysis of multimodal single-cell sequencing data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02556-z,2021,False,True,False
scDALI: modeling allelic heterogeneity in single cells reveals context-specific genetic regulation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02593-8,2022,True,False,False
Diurnal RNAPII-tethered chromatin interactions are associated with rhythmic gene expression in rice,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02594-7,2022,False,False,False
Network propagation-based prioritization of long tail genes in 17 cancer types,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02504-x,2021,False,False,False
Kras,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02498-6,2021,False,False,False
Systematic identification of ACE2 expression modulators reveals cardiomyopathy as a risk factor for mortality in COVID-19 patients,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02589-4,2022,False,False,False
Surfaceome CRISPR screen identifies OLFML3 as a rhinovirus-inducible IFN antagonist,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02513-w,2021,False,False,False
Acute depletion of CTCF rewires genome-wide chromatin accessibility,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02466-0,2021,False,False,False
Functional genomics atlas of synovial fibroblasts defining rheumatoid arthritis heritability,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02460-6,2021,True,True,True
H2A ubiquitination is essential for Polycomb Repressive Complex 1-mediated gene regulation in ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02476-y,2021,False,False,False
Introgression among North American wild grapes (,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02467-z,2021,False,False,False
Systematic functional interrogation of human pseudogenes using CRISPRi,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02464-2,2021,False,False,False
Megabase-scale presence-absence variation with ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02448-2,2021,False,False,False
Integrative approach identifies ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02454-4,2021,False,False,False
Deterministic transition of enterotypes shapes the infant gut microbiome at an early age,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02463-3,2021,False,False,False
SUPERGNOVA: local genetic correlation analysis reveals heterogeneous etiologic sharing of complex traits,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02478-w,2021,False,True,False
